Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC(=O)CCNC(=O)c1ccc(cc1)[C@@H](Oc1cc(C)c(c(c1)C)c1ccc(cc1)C(C)(C)C)CCC(F)(F)F,C32H36F3NO4,555.63,40,18,0.38,13,7,2,151.05,75.63,4.62,8.05,8.87,5.40,8.50,7.09,-7.83,8.19e-06,1.47e-08,Poorly soluble,-9.49,1.79e-07,3.21e-10,Poorly soluble,-10.84,8.03e-09,1.45e-11,Insoluble,Low,No,Yes,No,Yes,No,Yes,Yes,-3.97,2,4,1,1,1,0.56,0,0,3,4.24
Molecule 2,C[C@@H]1CC[C@@H](CC1)NCc1ccc2c(c1)Cc1c2[nH]nc1c1ccc(cc1)C(=O)O,C25H27N3O2,401.50,30,17,0.36,5,4,3,118.73,78.01,3.10,2.22,4.86,3.60,5.22,3.80,-3.82,6.12e-02,1.52e-04,Soluble,-3.49,1.29e-01,3.21e-04,Soluble,-7.88,5.23e-06,1.30e-08,Poorly soluble,High,No,Yes,No,No,No,Yes,No,-7.17,0,0,0,0,0,0.55,0,0,1,4.03
Molecule 3,OC(=O)C[C@H]1CCc2c1[nH]c1c2cc(cc1)OCc1ccc(c(c1)C(F)(F)F)C1CCCC1,C26H26F3NO3,457.48,33,15,0.42,7,6,2,120.37,62.32,3.70,6.37,7.93,4.70,6.99,5.94,-6.56,1.25e-04,2.73e-07,Poorly soluble,-7.47,1.55e-05,3.39e-08,Poorly soluble,-8.23,2.66e-06,5.82e-09,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-4.57,1,1,0,1,1,0.85,0,0,2,3.89
Molecule 4,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1nnc2n1cccc2)C,C29H27F3N6O,532.56,39,21,0.28,6,8,1,150.10,65.77,4.47,4.96,4.58,4.04,4.49,4.51,-6.27,2.87e-04,5.38e-07,Poorly soluble,-6.08,4.44e-04,8.33e-07,Poorly soluble,-8.46,1.84e-06,3.45e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.03,1,2,0,0,0,0.55,0,1,2,3.90
Molecule 5,CCc1cc(ccc1CN1CC(C1)C(=O)O)/C(=N/OCc1ccc(c(c1)C(F)(F)F)C1CCCCC1)/C,C29H35F3N2O3,516.60,37,12,0.52,10,8,1,142.60,62.13,4.89,4.76,7.24,4.80,7.25,5.79,-5.62,1.23e-03,2.39e-06,Moderately soluble,-5.80,8.28e-04,1.60e-06,Moderately soluble,-8.17,3.48e-06,6.73e-09,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-6.07,2,4,0,1,0,0.17,0,2,3,4.63
Molecule 6,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2n1nccc2)C,C29H27F3N6O,532.56,39,21,0.28,6,8,1,150.10,65.77,4.42,4.11,4.58,3.90,4.49,4.30,-5.73,9.83e-04,1.85e-06,Moderately soluble,-5.20,3.38e-03,6.35e-06,Moderately soluble,-8.46,1.84e-06,3.45e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.63,1,2,0,0,0,0.55,0,1,2,3.97
Molecule 7,CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,C21H16ClF3N4O3,464.82,32,18,0.10,9,7,3,112.48,92.35,3.42,4.07,6.32,2.91,3.78,4.10,-5.11,3.62e-03,7.79e-06,Moderately soluble,-5.71,8.98e-04,1.93e-06,Moderately soluble,-8.60,1.16e-06,2.50e-09,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-6.25,0,1,0,1,0,0.55,0,0,3,2.87
Molecule 8,C[C@@H](C(F)(F)F)Oc1ccc(cc1C(F)(F)F)c1onc(n1)c1ccc2c(c1)nc[nH]2,C19H12F6N4O2,442.31,31,20,0.21,6,11,1,96.12,76.83,2.95,5.43,8.04,3.16,5.55,5.03,-6.08,3.64e-04,8.23e-07,Poorly soluble,-6.80,7.02e-05,1.59e-07,Poorly soluble,-8.25,2.51e-06,5.68e-09,Poorly soluble,Low,No,No,Yes,No,Yes,Yes,No,-5.14,0,1,0,1,2,0.55,0,0,2,3.71
Molecule 9,Fc1ccccc1c1nc2c(n1)cn(cc2)Cc1ccc(nn1)c1ccc(cc1C(F)(F)F)C(F)(F)F,C25H14F7N5,517.40,37,27,0.12,6,11,0,119.70,56.49,3.99,4.75,9.50,4.65,6.75,5.93,-6.18,3.38e-04,6.54e-07,Poorly soluble,-5.67,1.11e-03,2.15e-06,Moderately soluble,-10.78,8.63e-09,1.67e-11,Insoluble,Low,No,Yes,Yes,Yes,Yes,No,Yes,-6.08,2,2,0,1,1,0.17,0,0,2,3.45
Molecule 10,O=C(Nc1ccc(c(c1)C(F)(F)F)Cl)Nc1ccc(cc1)Oc1ccnc(c1)C(=O)NC([2H])([2H])[2H],C21H13ClD3F3N4O3,467.84,32,18,0.10,9,7,3,112.48,92.35,3.27,4.07,6.32,2.91,3.78,4.07,-5.13,3.49e-03,7.46e-06,Moderately soluble,-5.71,9.04e-04,1.93e-06,Moderately soluble,-8.60,1.17e-06,2.50e-09,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-6.26,0,1,0,1,0,0.55,0,0,3,2.87
Molecule 11,O[C@@H]1[C@H](COc2c1ccc(c2)c1cc(ccc1C(=O)O)C(F)(F)F)Cc1ccccc1,C24H19F3O4,428.40,31,18,0.21,5,7,2,108.45,66.76,3.10,5.07,6.18,4.22,5.35,4.79,-5.79,6.95e-04,1.62e-06,Moderately soluble,-6.21,2.62e-04,6.11e-07,Poorly soluble,-7.53,1.27e-05,2.97e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,No,-5.31,1,1,0,1,1,0.85,0,0,2,3.95
Molecule 12,CCC[C@@H](c1ccc(cc1)C(=O)NCCC(=O)O)Oc1cc(C)c(c(c1)C)n1ncc(c1)C(F)(F)F,C26H28F3N3O4,503.51,36,17,0.35,12,8,2,128.28,93.45,3.97,5.03,6.46,3.63,5.45,4.91,-5.69,1.03e-03,2.05e-06,Moderately soluble,-6.73,9.31e-05,1.85e-07,Poorly soluble,-8.09,4.07e-06,8.09e-09,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-5.80,1,2,1,1,1,0.56,0,0,3,3.84
Molecule 13,OC(=O)CC/C(=N\OCc1ccc(cc1)OCc1nc(oc1C)c1ccccc1)/c1ccccc1,C28H26N2O5,470.52,35,23,0.18,11,7,1,133.11,94.15,4.21,5.09,5.71,2.98,6.17,4.83,-5.72,8.88e-04,1.89e-06,Moderately soluble,-6.81,7.28e-05,1.55e-07,Poorly soluble,-9.60,1.19e-07,2.52e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-5.56,0,2,1,0,1,0.56,0,2,3,4.16
Molecule 14,O=C1O[C@H](CN1c1ccc(c(c1)F)c1ccc(nc1)c1nnn(n1)C)COP(=O)(O)O,C17H16FN6O6P,450.32,31,17,0.24,6,11,2,106.09,162.60,1.55,0.30,1.55,0.20,-0.13,0.69,-2.83,6.65e-01,1.48e-03,Soluble,-3.28,2.38e-01,5.28e-04,Soluble,-3.45,1.61e-01,3.57e-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.83,1,0,1,1,2,0.11,0,1,1,3.96
Molecule 15,CCC(=O)N[C@@H]1CCCc2c1cncc2c1ccc2c(c1)CCC(=O)N2C,C22H25N3O2,363.45,27,12,0.41,4,3,1,109.53,62.30,3.13,2.17,2.86,2.27,3.95,2.87,-3.53,1.08e-01,2.98e-04,Soluble,-3.11,2.81e-01,7.74e-04,Soluble,-6.61,9.00e-05,2.48e-07,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.98,0,0,0,0,0,0.55,0,0,1,3.54
Molecule 16,O=C([C@](COc1c(F)c(F)c(c(c1F)F)F)(O)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],C17H10F8N2O5,474.26,32,12,0.24,8,13,2,91.20,104.38,2.22,4.50,7.14,3.59,3.51,4.19,-5.36,2.05e-03,4.32e-06,Moderately soluble,-6.41,1.83e-04,3.87e-07,Poorly soluble,-6.43,1.75e-04,3.68e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,No,-6.00,0,1,0,1,1,0.55,0,4,3,3.23
Molecule 17,Cc1nnc(o1)c1ccc(c(c1)C)c1cc(ccc1C)C(=O)NC1CC1,C21H21N3O2,347.41,26,17,0.29,5,4,1,100.56,68.02,3.50,4.00,4.16,3.43,4.95,4.01,-4.67,7.47e-03,2.15e-05,Moderately soluble,-5.13,2.57e-03,7.41e-06,Moderately soluble,-7.62,8.26e-06,2.38e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.58,0,0,0,0,0,0.55,0,0,1,3.07
Molecule 18,OC(=O)C[C@@H](NC(=O)c1nn(c(c1)c1ccccc1C(F)(F)F)C1CCCC1)CCN1CCCC(C1)(F)F,C26H31F5N4O3,542.54,38,11,0.58,11,10,2,133.91,87.46,3.46,2.40,6.99,3.52,4.75,4.22,-4.20,3.39e-02,6.25e-05,Moderately soluble,-3.88,7.18e-02,1.32e-04,Soluble,-6.65,1.21e-04,2.23e-07,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-7.91,1,3,1,1,0,0.55,0,0,2,4.44
Molecule 19,OC(=O)c1ccc(cc1)CN1C[C@@H]2C[C@H]1CN2Cc1ccc(cc1)Oc1ccc(cc1)c1ncco1,C29H27N3O4,481.54,36,23,0.24,8,7,1,143.10,79.04,4.28,2.18,4.23,2.97,4.00,3.53,-4.14,3.46e-02,7.18e-05,Moderately soluble,-3.47,1.62e-01,3.36e-04,Soluble,-8.15,3.42e-06,7.11e-09,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-7.69,0,2,0,0,0,0.55,0,0,2,4.73
Molecule 20,CN1CCN(CC1)Cc1ccc(cc1C(F)(F)F)NC(=O)c1ccc(c(c1)C#Cc1cnc2c(c1)cn[nH]2)C,C29H27F3N6O,532.56,39,21,0.28,6,8,2,151.00,77.15,3.86,4.57,4.81,3.63,5.57,4.49,-6.02,5.05e-04,9.47e-07,Poorly soluble,-5.91,6.50e-04,1.22e-06,Moderately soluble,-9.29,2.75e-07,5.16e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-6.30,1,2,0,0,0,0.55,0,1,2,3.72
Molecule 21,FC(COc1cc2c(cc1C(=O)N[C@@H]1CC[C@H](CC1)C(F)(F)F)nc(n2C)Nc1c(Cl)ccc(c1Cl)CNC(=O)C(C)(C)C)F,C30H34Cl2F5N5O3,678.52,45,15,0.50,13,9,3,163.62,97.28,4.48,7.82,9.73,4.60,6.86,6.70,-8.36,2.95e-06,4.34e-09,Poorly soluble,-9.71,1.33e-07,1.95e-10,Poorly soluble,-10.32,3.23e-08,4.76e-11,Insoluble,Low,No,Yes,No,No,No,Yes,Yes,-4.89,2,4,1,1,2,0.17,0,0,3,5.03
Molecule 22,CCOc1ccc(c(c1)O)C1COc2c(C1)ccc1c2CCC(O1)(C)C,C22H26O4,354.44,26,12,0.45,3,4,1,102.21,47.92,3.82,4.64,4.61,3.25,5.08,4.28,-5.10,2.79e-03,7.87e-06,Moderately soluble,-5.37,1.50e-03,4.24e-06,Moderately soluble,-6.50,1.11e-04,3.14e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,Yes,-5.17,0,0,0,0,0,0.55,0,0,2,3.83
Molecule 23,OC[C@@H](COc1c(C)cc(cc1CC)c1noc(n1)c1cc(OC)nc(c1)C1CCCC1)O,C25H31N3O5,453.53,33,17,0.48,9,8,2,124.71,110.73,4.94,4.19,4.07,2.49,5.10,4.16,-5.08,3.78e-03,8.34e-06,Moderately soluble,-6.22,2.70e-04,5.96e-07,Poorly soluble,-7.31,2.21e-05,4.86e-08,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-6.09,0,0,0,0,0,0.55,0,0,3,4.50
Molecule 24,ClCCN(C(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2OP(=O)(O)O)C)CCCl,C23H32Cl2NO6P,520.38,33,6,0.70,9,6,2,128.71,106.11,2.89,2.91,5.30,3.56,3.47,3.63,-4.44,1.89e-02,3.63e-05,Moderately soluble,-4.80,8.26e-03,1.59e-05,Moderately soluble,-5.18,3.42e-03,6.58e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-7.41,1,1,0,0,0,0.56,0,2,2,5.13
Molecule 25,CC(=O)N[C@H](C(=O)N[C@H](c1ccc(c(c1)C(=O)N)OCC1CCCCC1)C)Cc1ccc(c(c1)P(=O)(O)O)OCC(=O)O,C29H38N3O10P,619.60,43,12,0.45,16,10,6,156.80,224.39,1.78,1.59,1.61,0.24,1.89,1.42,-3.83,9.09e-02,1.47e-04,Soluble,-5.91,7.56e-04,1.22e-06,Moderately soluble,-5.42,2.34e-03,3.78e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.95,3,3,2,1,4,0.11,0,1,2,5.20
Molecule 26,OC(=O)C[C@@H]1COc2c1ccc(c2)OCc1cccc(c1)c1c(C)cc(cc1C)OCCCS(=O)(=O)C,C29H32O7S,524.63,37,18,0.34,11,7,1,143.40,107.51,3.65,4.74,6.24,3.15,6.07,4.77,-5.71,1.02e-03,1.94e-06,Moderately soluble,-6.73,9.82e-05,1.87e-07,Poorly soluble,-9.25,2.94e-07,5.61e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-6.13,1,3,1,1,0,0.56,0,0,3,4.54
Molecule 27,O[C@@H]1CCN(C1)c1ncc(cc1c1ccn[nH]1)C(=O)Nc1ccc(cc1)OC(Cl)(F)F,C20H18ClF2N5O3,449.84,31,17,0.25,7,7,3,113.26,103.37,2.62,3.04,3.73,1.37,2.81,2.71,-4.49,1.46e-02,3.25e-05,Moderately soluble,-4.88,5.98e-03,1.33e-05,Moderately soluble,-6.38,1.89e-04,4.21e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.89,0,0,0,0,0,0.55,0,1,1,3.71
Molecule 28,OC[C@@H]1OC(=O)N(C1)c1ccc(c(c1)F)c1ccc(nc1)c1nnn(n1)C,C17H15FN6O3,370.34,27,17,0.24,4,8,1,95.18,106.26,2.53,1.39,1.44,0.93,1.07,1.47,-3.21,2.26e-01,6.11e-04,Soluble,-3.23,2.21e-01,5.96e-04,Soluble,-4.33,1.71e-02,4.62e-05,Moderately soluble,High,No,Yes,Yes,No,No,No,Yes,-7.57,0,0,0,0,0,0.55,0,0,1,3.55
Molecule 29,OC(=O)COc1cc2onc(c2cc1C)CCc1sc(nc1C(C)C)c1ccc(cc1)C(F)(F)F,C25H23F3N2O4S,504.52,35,20,0.32,9,9,1,127.00,113.69,4.25,6.66,7.80,3.76,7.86,6.07,-6.99,5.13e-05,1.02e-07,Poorly soluble,-8.85,7.13e-07,1.41e-09,Poorly soluble,-9.09,4.13e-07,8.18e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-4.65,1,2,0,1,1,0.56,0,0,3,4.09
Molecule 30,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@@]1(C)NN=C(C1)C(F)(F)F,C14H10F6N4O,364.25,25,6,0.36,5,9,2,81.54,77.28,2.02,2.99,4.65,1.96,3.89,3.10,-3.83,5.39e-02,1.48e-04,Soluble,-4.28,1.93e-02,5.29e-05,Moderately soluble,-5.50,1.16e-03,3.18e-06,Moderately soluble,High,No,No,No,Yes,No,No,Yes,-6.40,0,0,0,0,0,0.55,0,0,1,3.48
Molecule 31,CCOC(=O)[C@H]1NCC2(C1)CCN(CC2)c1cc(nc(n1)N)O[C@@H](C(F)(F)F)c1ccc(cc1c1ccccc1)Cl,C29H31ClF3N5O3,590.04,41,18,0.41,9,9,2,156.78,102.60,3.66,6.14,5.76,4.06,5.02,4.93,-7.10,4.72e-05,7.99e-08,Poorly soluble,-8.08,4.94e-06,8.37e-09,Poorly soluble,-9.18,3.94e-07,6.68e-10,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-5.54,1,4,0,0,1,0.55,0,0,3,5.49
Molecule 32,OC(=O)CC1CCN(CC1)C(=O)c1ccc(c(c1Cl)Cn1ccc2c1c(Cl)cc(c2)C(F)(F)F)Cl,C24H20Cl3F3N2O3,547.78,35,15,0.33,7,6,1,133.22,62.54,3.48,6.07,7.77,5.20,6.28,5.76,-6.92,6.65e-05,1.21e-07,Poorly soluble,-7.16,3.76e-05,6.86e-08,Poorly soluble,-8.10,4.35e-06,7.94e-09,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,No,-5.33,2,3,0,1,1,0.85,0,0,2,2.95
Molecule 33,OC(=O)CCCn1ccc2c1cccc2c1noc(n1)c1cnc(c(c1)Cl)OC(C)C,C22H21ClN4O4,440.88,31,20,0.27,8,7,1,117.03,103.27,3.67,3.99,5.06,2.52,4.14,3.88,-5.04,4.05e-03,9.19e-06,Moderately soluble,-5.86,6.08e-04,1.38e-06,Moderately soluble,-7.24,2.53e-05,5.74e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.16,0,0,0,0,0,0.56,0,0,3,3.58
Molecule 34,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1cc(c(s1)CC[C@@H]1CNc2c(C1)c(=O)[nH]c(n2)N)C,C20H25N5O6S,463.51,32,11,0.45,10,7,6,121.87,215.74,1.15,0.68,0.42,0.79,2.66,1.14,-2.74,8.50e-01,1.83e-03,Soluble,-4.79,7.56e-03,1.63e-05,Moderately soluble,-4.30,2.31e-02,4.98e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.64,2,0,1,1,2,0.11,0,0,2,4.46
Molecule 35,CCCc1c(OCCCOc2ccc3c(c2)ccn3CC(=O)O)ccc2c1onc2C(F)(F)F,C24H23F3N2O5,476.45,34,18,0.33,11,9,1,119.05,86.72,3.54,5.73,6.84,3.06,5.30,4.89,-6.07,4.06e-04,8.52e-07,Poorly soluble,-7.32,2.29e-05,4.80e-08,Poorly soluble,-7.90,6.04e-06,1.27e-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,Yes,Yes,-5.14,0,1,1,1,1,0.56,0,0,3,3.72
Molecule 36,Cc1cc(OCP(=O)(O)O)cc(c1Cc1ccc(c(c1)Cc1ccccc1)O)C,C23H25O5P,412.42,29,18,0.22,7,5,3,114.78,96.80,2.11,4.38,4.70,3.40,4.38,3.80,-5.15,2.90e-03,7.02e-06,Moderately soluble,-6.13,3.06e-04,7.43e-07,Poorly soluble,-7.36,1.78e-05,4.33e-08,Poorly soluble,High,No,No,No,No,Yes,Yes,Yes,-5.71,0,0,0,0,0,0.56,0,1,2,3.65
Molecule 37,COc1cc(ccc1OC)C(=O)N1CCCc2c1ccc(c2)C1=NNC(=O)S[C@@H]1C,C22H23N3O4S,425.50,30,12,0.32,5,5,1,128.32,105.53,3.35,3.78,2.70,2.61,3.88,3.26,-4.83,6.36e-03,1.49e-05,Moderately soluble,-5.69,8.69e-04,2.04e-06,Moderately soluble,-6.25,2.37e-04,5.56e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.21,0,0,0,0,0,0.55,0,1,2,4.01
Molecule 38,Cc1nnc(o1)c1ccc(c(c1)c1ccc(cc1)C(=O)NCC1CC1)C,C21H21N3O2,347.41,26,17,0.29,6,4,1,100.41,68.02,3.65,3.83,4.10,3.43,4.82,3.97,-4.49,1.11e-02,3.20e-05,Moderately soluble,-4.95,3.86e-03,1.11e-05,Moderately soluble,-7.64,7.92e-06,2.28e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.70,0,0,0,0,0,0.55,0,0,1,2.99
Molecule 39,O=Cc1cc(ccc1OP(=O)(O)O)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C,C31H34N3O8P,607.59,43,18,0.29,13,8,4,163.17,172.15,2.59,2.21,2.85,0.97,3.41,2.41,-4.45,2.15e-02,3.54e-05,Moderately soluble,-5.46,2.11e-03,3.47e-06,Moderately soluble,-7.58,1.58e-05,2.61e-08,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.44,2,3,2,1,2,0.11,0,2,2,4.79
Molecule 40,OC(=O)C(Oc1ccc(cc1C)SCc1sc(nc1C)c1ccc(cc1F)C(F)(F)F)(C)C,C23H21F4NO3S2,499.54,33,17,0.30,8,8,1,121.37,112.96,3.26,6.56,8.54,4.69,7.99,6.21,-6.92,5.96e-05,1.19e-07,Poorly soluble,-8.73,9.29e-07,1.86e-09,Poorly soluble,-8.54,1.43e-06,2.86e-09,Poorly soluble,Low,No,Yes,No,Yes,No,No,Yes,-4.69,1,2,0,1,1,0.56,0,0,3,3.86
Molecule 41,O=c1nc(OC[C@@H]2COCCO2)cc2n1CCc1c2ccc(c1)C#CC1CC1,C22H22N2O4,378.42,28,12,0.45,3,5,0,104.06,62.58,3.96,2.38,2.04,1.86,3.82,2.81,-3.80,5.93e-02,1.57e-04,Soluble,-3.34,1.75e-01,4.62e-04,Soluble,-4.93,4.46e-03,1.18e-05,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.92,0,0,0,0,0,0.55,0,1,1,4.14
Molecule 42,N#Cc1ccc(c(c1)F)COc1cccc(n1)C1CCN(CC1)Cc1nc2c(n1C[C@@H]1CCO1)cc(cc2)C(=O)O,C31H30FN5O4,555.60,41,21,0.35,9,9,1,152.98,113.50,3.50,1.36,4.62,2.52,4.69,3.34,-3.93,6.58e-02,1.18e-04,Soluble,-3.35,2.50e-01,4.51e-04,Soluble,-8.03,5.19e-06,9.33e-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-8.72,1,3,0,0,0,0.55,0,0,2,4.80
Molecule 43,N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(CS(=O)(=O)c1ccc(cc1)F)(O)C,C18H14F4N2O4S,430.37,29,12,0.22,7,9,2,93.86,115.64,1.95,2.31,5.34,2.47,3.22,3.06,-3.81,6.70e-02,1.56e-04,Soluble,-4.38,1.81e-02,4.20e-05,Moderately soluble,-6.25,2.41e-04,5.60e-07,Poorly soluble,Low,No,Yes,No,Yes,No,No,Yes,-7.29,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 44,O=C([C@H]1CCC(=O)N1C1CCN(CC1)Cc1ccc(c(c1)C)Cl)Nc1nc(C)cc(c1)C(=O)N(C)C,C27H34ClN5O3,512.04,36,12,0.48,8,5,1,148.73,85.85,4.02,2.93,2.54,1.97,3.50,3.00,-4.58,1.35e-02,2.63e-05,Moderately soluble,-4.39,2.06e-02,4.03e-05,Moderately soluble,-6.80,8.06e-05,1.57e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.34,1,2,0,0,0,0.55,0,0,2,4.12
Molecule 45,OCCN[C@H]1CCc2c1cccc2c1noc(n1)c1ccc(c(c1)C#N)OC(C)C,C23H24N4O3,404.46,30,17,0.35,7,7,2,112.19,104.20,3.89,3.06,3.31,1.70,4.22,3.24,-4.23,2.37e-02,5.85e-05,Moderately soluble,-4.91,4.92e-03,1.22e-05,Moderately soluble,-7.35,1.79e-05,4.43e-08,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-6.59,0,0,0,0,0,0.55,0,0,1,3.98
Molecule 46,O[C@H](CNC(Cc1ccc(c(c1)F)Cl)(C)C)CO[C@@H](c1ccccc1c1ccc(c(c1)C)C(=O)O)C,C29H33ClFNO4,514.03,36,18,0.34,11,6,3,141.77,78.79,4.33,3.47,6.30,4.77,7.17,5.21,-4.86,7.14e-03,1.39e-05,Moderately soluble,-4.81,8.02e-03,1.56e-05,Moderately soluble,-9.63,1.20e-07,2.33e-10,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-6.97,2,3,1,1,0,0.17,0,0,2,4.52
Molecule 47,Fc1ccc(cc1)OC[C@@](C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-])(O)C,C17H14F4N2O5,402.30,28,12,0.24,8,9,2,91.36,104.38,2.26,4.10,4.90,2.07,1.72,3.01,-4.71,7.91e-03,1.97e-05,Moderately soluble,-6.00,4.04e-04,1.01e-06,Moderately soluble,-5.39,1.65e-03,4.10e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.84,0,0,0,0,0,0.55,0,2,3,3.11
Molecule 48,OCCc1cc(ccc1O)[C@H](CN[C@H]1CCc2c(C1)cc(cc2)OCC(=O)N(C)C)O,C24H32N2O5,428.52,31,12,0.46,10,6,4,118.91,102.26,2.87,1.78,1.25,1.02,3.02,1.99,-3.24,2.44e-01,5.69e-04,Soluble,-3.55,1.22e-01,2.85e-04,Soluble,-5.48,1.41e-03,3.28e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.65,0,0,0,0,0,0.55,0,0,2,4.05
Molecule 49,CCOc1ccccc1C(=O)NCc1coc(n1)c1ccc(c(c1)OC(C)C)OC(F)F,C23H24F2N2O5,446.44,32,17,0.30,11,8,1,113.42,82.82,3.81,4.84,5.75,2.04,5.00,4.29,-5.32,2.12e-03,4.74e-06,Moderately soluble,-6.31,2.17e-04,4.87e-07,Poorly soluble,-8.00,4.46e-06,1.00e-08,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.59,0,1,1,0,0,0.55,0,0,3,3.59
