SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
O=c1[nH]c(NCc2cccc3ccccc23)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1	487.409	1.6426	7	9	5	191.985	-2.887	-0.447	56.583	-2.735	Yes	No	No	0.093	0.306	-2.106	-3.878	No	No	No	No	No	No	No	0.694	No	No	0.441	No	Yes	2.467	3.048	Yes	No	0.285	2.788
O=C(O)CCCC(=O)N[C@H](Cc1ccccc1)[P@@](=O)(O)OCC(=O)NCCc1ccccc1	476.466	2.4872	14	5	4	192.252	-4.754	0.125	30.151	-2.722	Yes	No	No	-0.733	0.142	-1.258	-3.444	No	No	No	No	No	No	No	-0.024	No	No	-0.409	No	No	2.87	3.56	Yes	No	0.288	1.61
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O	453.507	6.20144	7	5	1	179.284	-4.578	1.42	90.446	-2.735	Yes	No	No	-0.645	0.11	0.226	-1.815	No	No	No	No	Yes	No	No	0.042	No	No	0.566	No	No	2.621	0.574	No	No	0.315	-1.411
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1	582.062	8.0891	13	3	1	242.516	-3.935	1.154	88.044	-2.735	Yes	Yes	Yes	-0.34	0.169	-0.448	-1.728	No	Yes	No	No	No	No	No	0.294	No	No	0.47	No	Yes	2.471	1.28	Yes	No	0.285	-4.844
O=C(COc1ccc(Cl)c(F)c1)NC12CCC(NC(=O)COc3ccc(Cl)c(F)c3)(CC1)[C@@H](OCOP(=O)(O)O)C2	639.372	3.8691	12	7	4	243.174	-3.92	0.458	70.621	-2.736	Yes	Yes	No	-0.219	0.105	-2.3	-3.95	No	Yes	No	No	No	No	Yes	-0.092	No	No	-0.041	No	Yes	2.54	2.471	Yes	No	0.285	2.008
CNCC1CCCCN1C(=O)Oc1ccc(CNC(=O)CCCC/C=C/C(C)C)cc1OC	459.631	4.6567	12	5	2	198.445	-4.68	0.891	88.355	-2.95	Yes	Yes	Yes	0.429	0.047	-1	-2.634	No	Yes	No	No	No	No	Yes	0.691	No	No	-0.59	No	Yes	3.901	0.379	Yes	No	0.613	1.081
C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1	285.274	3.822	3	3	1	119.4	-4.354	0.956	96.532	-2.731	No	No	No	-0.831	0.094	0.266	-2.08	No	Yes	No	No	No	No	No	0.537	No	No	0.924	No	No	2.87	1.333	Yes	No	0.452	-0.406
Cc1c(N[C@@H](c2nnc(-c3ccc(C#N)cc3)o2)[C@H](C)O)ccc(C#N)c1Cl	393.834	3.97578	5	7	2	166.37	-4.362	0.269	84.203	-2.843	Yes	Yes	Yes	0.125	0.039	-0.528	-2.18	No	Yes	Yes	Yes	Yes	No	Yes	0.035	No	No	0.347	No	Yes	2.564	0.92	Yes	No	0.403	0.294
Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1	576.627	5.39262	8	8	2	241.402	-3.345	1.619	83.9	-2.735	Yes	Yes	Yes	1.524	0.075	-1.907	-2.478	No	Yes	No	No	Yes	No	Yes	0.406	No	No	0.456	No	Yes	2.966	1.201	Yes	No	0.285	1.984
COc1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1F	360.366	3.9053	5	7	0	146.466	-4.634	1.371	93.717	-2.732	No	No	Yes	-0.421	0.057	-0.23	-3.12	No	Yes	Yes	Yes	Yes	No	No	0.002	No	No	0.758	No	Yes	2.541	0.81	Yes	No	0.322	0.82
