SMILES,CID
CO[C@@H]1[C@H](OP(=O)(S)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,6912016
Cc1ccc2c(c1)c1c(n2C[C@@H](O)CNC2CCCCC2)CCCC1,961704
COc1ccc(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,60594
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)c1cccc(N)c1,446912
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,54892
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,184820
Cc1cc([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(F)cc1F,46937086
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1,89995232
Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NC[C@H]2CC[C@H](CNCCCNC3CCCCC3)CC2)n1,44479007
CC(C)C[C@@H](NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(OCc4ccc(C(=O)O)o4)c(Cl)c3Cl)nn2C)CC1,5288251
C[C@](O)(COc1ccc([N+](=O)[O-])cc1)[C@@H](O)Nc1ccc(C#N)c(C(F)(F)F)c1,46937071
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,4932
C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)[C@@H](CC1CC1)c1ccc(C)c(F)c1,5282340
Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1,67773619
CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,61306
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COP(=O)(O)O)cc12,154699467
CN(CCCC1CCCCC1)C(=O)[C@H](CCC(=O)O)NC(=O)N(CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1,448585
CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,23727689
CCCC[C@H](OP(=O)(O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1,17754079
CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,5287515
CCNCCc1ccc(CN(CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1,23642301
N#Cc1ccc(N2CCC[C@@H]2[C@@H](O)C(F)(F)F)cc1C(F)(F)F,44137686
CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,5282411
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([123I])cc1)C(=O)O)C(=O)O,25168442
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCN(C)CCO[P@](=O)(O)OP(=O)(O)O,447278
CCCCCC[P@](=O)(O)OC[C@H](C)Cc1ccccc1,4369425
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,2372
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,9807507
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,455742
