Ligand,Best_Affinity_(kcal/mol)
264_3__2_6_8_trioxo_9___2S_3S_4R__2_3_4_5_tetrahydroxypentyl__1_2_3_6_8_9_hexahydro_7H_purin_7_Yl_propyl_dihydrogen_phosphate,-6.353
362_N_PYRIDOXYL_2_METHYL_L_GLUTAMIC_ACID_5__MONOPHOSPHATE,-6.328
150_Foscarbidopa,-6.316
316_4__6_CHLORO_2_4_DIOXO_1_2_3_4_TETRAHYDROPYRIMIDIN_5_YL__BUTYL_PHOSPHATE,-6.29
265_3__2_6_8_Trioxo_9___2R_3S_4R__2_3_4_5_tetrahydroxypentyl__3H_purin_7_yl_propyl_dihydrogen_phosphate,-6.288
39__1_HYDROXYHEPTANE_1_1_DIYL_BIS_PHOSPHONIC_ACID_,-6.285
51__1R__menthyl_hexyl_phosphonate_group,-6.284
33_L_Alfa_Lysophosphatidylcholine__Lauroyl,-6.28
82_Mixed_Carbamic_Phosphoric_Acid_Anhydride_of_7_8_Diaminononanic_Acid,-6.274
43_Vitamin_B6_Complexed_with_2_Amino_Hexanoic_Acid,-6.265
429__3__3__3_4_Dimethoxy_Phenyl__1__1__1__2__3_4_5_Trimethoxy_Phenyl__Butyryl__Piperidin_2yl__Vinyloxy__Propyl__Phenoxy__Acetic_Acid,-6.262
35_Pegnivacogin,-6.247
190_Naldemedine,-6.244
486__1S__2______2S__2_3_DIHYDROXYPROPYL_OXY__HYDROXY_PHOSPHORYL_OXY__1___PENTANOYLOXY_METHYL_ETHYL_OCTANOATE,-6.237
346_Glycyl_L_a_Aminopimelyl_E__D_2_Aminoethyl_Phosphonate,-6.229
283_N_Pyridoxyl_Glycine_5_Monophosphate,-6.205
403_CTT_1057,-6.202
40__1_HYDROXYNONANE_1_1_DIYL_BIS_PHOSPHONIC_ACID_,-6.201
229_1__O_Carboxy_Phenylamino__1_Deoxy_D_Ribulose_5_Phosphate,-6.186
69_Di_Stearoyl_3_Sn_Phosphatidylethanolamine,-6.163
142_N_acetyl_D_glucosamine_6_phosphate,-6.156
396_Coenzyme_F420,-6.14
49_Phosphatidyl_serine,-6.09
466__3___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Amino__2_Methyl_Propyl__Phosphonic_Acid,-6.088
266_3__2_6_8_Trioxo_9___2R_3R_4R__2_3_4_5_tetrahydroxypentyl__3H_purin_7_yl_propyl_dihydrogen_phosphate,-6.08
84_1_Palmitoyl_2_oleoyl_sn_glycero_3__phospho_rac__1_glycerol__,-6.072
108_VB_201,-6.067
267_3__2_6_8_trioxo_9___2S_3R_4R__2_3_4_5_tetrahydroxypentyl__1_2_3_6_8_9_hexahydro_7H_purin_7_Yl_propyl_dihydrogen_phosphate,-6.065
272_2__O_butyl_5_methyluridine,-6.054
106_D_Gluco_2_5_Anhydro_1_Deoxy_1_Phosphonohexitol_6_Phosphate,-6.02
344_Trifluoroacetonyl_coenzyme_A,-6.01
205_N_Pyridoxyl_Threonine_5_Monophosphate,-5.989
395_Pyridoxal_5__Phosphate_N_Oxide,-5.981
305_AICA_ribonucleotide,-5.91
114_4__2_Amino_Ethoxy__2___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Amino__but_3_Enoic_Acid,-5.896
67_1_2_dihexadecanoyl_sn_glycero_3_phosphoethanolamine,-5.892
89_Ibandronate,-5.876
83__2R__3______2S__2_3_DIHYDROXYPROPYL_OXY__HYDROXY_PHOSPHORYL_OXY__2___9E__HEXADEC_9_ENOYLOXY_PROPYL__9E__OCTADEC_9_ENOATE,-5.865
204_Pyridoxyl_Glutamic_Acid_5__Monophosphate,-5.863
159_1_3_Sugar_Ring_of_Pentamannosyl_6_Phosphate,-5.805
18_METHOXYUNDECYLPHOSPHINIC_ACID,-5.803
273_5_O_phosphono_alpha_D_ribofuranosyl_diphosphate,-5.798
243_N__5__phosphopyridoxyl__L_alanine,-5.789
113_Phosphatidylethanolamine,-5.777
422_2___3_Hydroxy_2_Methyl_5_Phosphonooxymethyl_Pyridin_4_Ylmethyl__Imino__5_Phosphono_Pent_3_Enoic_Acid,-5.773
168_Carboxylic_PRPP,-5.758
42_Pentyl_Trihydrogen_Diphosphate,-5.732
384_Dimethylallyl_S_Thiolodiphosphate,-5.731
152_5_Phosphoribosyl_1__Beta_Methylene__Pyrophosphate,-5.724
291_Pyridoxamine_5__Phosphate,-5.714
23_D_pantetheine_4__phosphate,-5.714
138_2_Deoxy_Glucose_6_Phosphate,-5.706
162_Pyridoxine_phosphate,-5.704
379_Elagolix,-5.7
25_Phosphopantothenic_acid,-5.696
400_Nitromethyldethia_coenzyme_A,-5.666
328_ISOPENTENYL_PYROPHOSPHATE,-5.651
448_beta_D_fructofuranose_1_6_bisphosphate,-5.641
176_Glycinamide_Ribonucleotide,-5.64
303_Propanoyl_CoA,-5.632
