SMILES,Common_Name,Best_Affinity_(kcal/mol)
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)c1cccc(N)c1,"4-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide",-8.173
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,Quinapril,-8.17
CCCNC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,(S)-Propafenone,-8.168
Cc1cc([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(F)cc1F,"1-[2-DEOXYRIBOFURANOSYL]-2,4-DIFLUORO-5-METHYL-BENZENE-5'MONOPHOSPHATE",-8.142
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1,Rezvilutamide,-8.125
Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NC[C@H]2CC[C@H](CNCCCNC3CCCCC3)CC2)n1,Burixafor,-8.122
CC(C)C[C@@H](NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(OCc4ccc(C(=O)O)o4)c(Cl)c3Cl)nn2C)CC1,"N(2)-carbamimidoyl-N-{2-[4-(3-{4-[(5-carboxyfuran-2-yl)methoxy]-2,3-dichlorophenyl}-1-methyl-1H-pyrazol-5-yl)piperidin-1-yl]-2-oxoethyl}-D-leucinamide",-8.12
C[C@](O)(COc1ccc([N+](=O)[O-])cc1)[C@@H](O)Nc1ccc(C#N)c(C(F)(F)F)c1,"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile",-8.105
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,Propafenone,-8.08
C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)[C@@H](CC1CC1)c1ccc(C)c(F)c1,Crinecerfont,-8.06
Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1,Fosciclopirox,-8.021
CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,Furethidine,-8.018
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COP(=O)(O)O)cc12,PF-07304814,-8.003
CN(CCCC1CCCCC1)C(=O)[C@H](CCC(=O)O)NC(=O)N(CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1,4-[3-carboxymethyl-3-(4-phosphonooxy-benzyl)-ureido]-4-[(3-cyclohexyl-propyl)-methyl-carbamoyl]butyric acid,-7.973
CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,Almorexant,-7.894
CCCC[C@H](OP(=O)(O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1,(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide,-7.87
CC(=O)N[C@@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,RU85493,-7.827
CCNCCc1ccc(CN(CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1,Elacestrant,-7.816
N#Cc1ccc(N2CCC[C@@H]2[C@@H](O)C(F)(F)F)cc1C(F)(F)F,Ligandrol,-7.799
CCCCC[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)O[C@H]2C[C@H]1O,Epoprostenol,-7.752
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([123I])cc1)C(=O)O)C(=O)O,MIP-1095 I-123,-7.711
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCN(C)CCO[P@](=O)(O)OP(=O)(O)O,2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE,-7.68
CCCCCC[P@](=O)(O)OC[C@H](C)Cc1ccccc1,Hexylphosphonic acid (R)-2-methyl-3-phenylpropyl ester,-7.641
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,Bevantolol,-7.638
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,Fosravuconazole,-7.603
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,Zidovudine diphosphate,-7.552
CC(C)CCNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE,-7.536
CCCCCCCOc1ccc(CCC(N)(CO)CO)cc1C(F)(F)F,Amiselimod,-7.513
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,Febuxostat,-7.505
CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,Triciribine phosphate,-7.498
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Tenivastatin,-7.475
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](OP(=O)(O)O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,Fosdagrocorat,-7.469
CCCCCC[P@](=O)(O)OC[C@@H](C)Cc1ccccc1,Hexylphosphonic acid (S)-2-methyl-3-phenylpropyl ester,-7.457
Cc1cccc2c1ccn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,1-(2-DEOXY-5-O-PHOSPHONO-BETA-D-ERYTHRO-PENTOFURANOSYL)-4-METHYL-1H-INDOLE,-7.443
N=c1c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2ncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,1-(5-phospho-D-ribosyl)-ATP,-7.441
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc([131I])cc1)C(=O)O)C(=O)O,MIP-1095 I-131,-7.437
CC(=O)CC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,Fasentin,-7.418
CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O,Leukotriene C4,-7.417
CCCC[C@H](NC(=O)CCC(=O)O)[P@@](=O)(O)Oc1ccccc1,PHENYL[1-(N-SUCCINYLAMINO)PENTYL]PHOSPHONATE,-7.403
C[C@H](CCOc1cccc(CC(=O)O)c1)N(Cc1cccc(C(F)(F)F)c1Cl)CC(c1ccccc1)c1ccccc1,Abequolixron,-7.4
CC(C)[C@H](NS(=O)(=O)CCCc1ccccc1)P(=O)(O)C[C@H](C(=O)O)c1cccc(CN)c1,BX-528,-7.376
Cc1ncc(COP(=O)(O)O)c(CNC(C)(C)C(=O)O)c1O,N-Pyridoxyl-2-Methylalanine-5-Phosphate,-7.369
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,Zidovudine monophosphate,-7.366
O=C(NCCOP(=O)(O)O)c1ccc(OC(F)(F)F)cc1,2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE,-7.364
O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc([123I])cc1)C(=O)O)C(=O)O,Iofolastat I-123,-7.362
Cc1cn([C@H]2CC[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,"2',3'-Dideoxythymidine-5'-Monophosphate",-7.361
CCCCCCC(C)(C)c1cc(O)c([C@H]2CC(=O)[C@H]3C[C@@H]2C3(C)C)c(OC(=O)/C=C/C(=O)O)c1,Cannabinor,-7.345
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,Benfotiamine,-7.32
Cc1cccc2c1NC(=O)[C@@H](NC(=O)[C@H](CCC(F)(F)F)[C@H](CCC(F)(F)F)C(N)=O)N=C2c1cccc(F)c1,BMS-986115,-7.281
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,Fingolimod,-7.272
O=C(O)CNC(=O)CCC[P@](=O)(O)OCc1ccc([N+](=O)[O-])cc1,4-NITRO-BENZYLPHOSPHONOBUTANOYL-GLYCINE,-7.268
CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,Tenofovir exalidex,-7.263
Cc1cn([C@H]2C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O,"Thymidine-3',5'-Diphosphate",-7.242
CC(=O)N[C@@H](Cc1ccc(P(=O)(O)O)c(P(=O)(O)O)c1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,AP-22408,-7.235
Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,Alpha-Ribazole-5'-Phosphate,-7.228
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,Flavin mononucleotide,-7.218
