Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate,CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)C(C)C,305.418,3.737600000000003,1.0,3.0,1.0,9.0,22.0,4.0,1.0,55.400000000000006,0.5555555555555556
1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE,CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCC1,317.42900000000014,4.025800000000003,1.0,3.0,2.0,8.0,23.0,4.0,1.0,55.400000000000006,0.5789473684210527
CCT-018159,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,352.3900000000001,3.7969200000000023,3.0,5.0,4.0,3.0,26.0,6.0,3.0,87.60000000000001,0.25
"(5Z)-5-(3-BROMOCYCLOHEXA-2,5-DIEN-1-YLIDENE)-N-(PYRIDIN-4-YLMETHYL)-1,5-DIHYDROPYRAZOLO[1,5-A]PYRIMIDIN-7-AMINE",Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]ccc3n2)c1,381.257,3.5850000000000017,2.0,3.0,4.0,4.0,24.0,6.0,4.0,57.7,0.05555555555555555
"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](CC#N)CC[C@@H]12,404.53200000000027,3.6634800000000025,1.0,5.0,4.0,4.0,28.0,7.0,1.0,102.41,0.6666666666666666
"CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL",N[C@H]1CCc2ccccc2[C@H]1O,163.21999999999997,0.9934999999999998,2.0,2.0,2.0,0.0,12.0,2.0,1.0,46.25,0.4
"2,3,6A,7,8,9-HEXAHYDRO-11H-[1,4]DIOXINO[2,3-G]PYRROLO[2,1-B][1,3]BENZOXAZIN-11-ONE",O=C1c2cc3c(cc2O[C@@H]2CCCN12)OCCO3,247.24999999999991,1.4122999999999997,0.0,4.0,4.0,0.0,18.0,5.0,1.0,48.0,0.46153846153846156
[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID,CO/N=C(\C(=O)NCB(O)O)c1csc(N)n1,258.068,-1.7959999999999994,4.0,8.0,1.0,5.0,17.0,10.0,1.0,130.06,0.2857142857142857
"4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol",Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl,389.83900000000017,3.3035000000000014,3.0,7.0,4.0,5.0,27.0,8.0,3.0,90.99000000000001,0.3157894736842105
S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE,N[C@@H](CSCCC(=O)Nc1ccc2ncnc(Nc3ccccc3)c2c1)C(=O)O,411.48700000000014,2.8471,4.0,7.0,3.0,9.0,29.0,9.0,3.0,130.23,0.2
