Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL3899042,CCC(NCc1ccc(NC(=O)c2cc(N(CC3CC3)C3CCCCC3)ncn2)cc1)C(=O)O,287.0,EC50,6.54,Active
CHEMBL3918272,O=C(Nc1ccc(CN2CC(C(=O)O)C2)cc1)c1cc(N(CC2CC2)C2CCCCC2)ncn1,2.9,EC50,8.54,Active
CHEMBL3890236,CCCN(CC1CC1)c1cc(C(=O)Nc2ccc(CO)cc2C)ncn1,118.0,EC50,6.93,Active
CHEMBL514189,C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCc2cccc3ccccc23)cc1,220.0,IC50,6.66,Active
CHEMBL473016,C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCc2ccc(-c3cccs3)cc2)cc1,21.0,IC50,7.68,Active
CHEMBL470511,C[C@](N)(COP(=O)(O)O)c1nc(-c2ccc(OCCCCCc3ccccc3)cc2)c[nH]1,0.2,IC50,9.7,Active
CHEMBL3359523,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CC[C@@H]2CC(=O)O)cc1C(F)(F)F,0.62,EC50,9.21,Active
CHEMBL3359522,CC(C)Oc1ccc(COc2ccc3c(c2)c(Cl)c2n3CC[C@@H]2CC(=O)O)cc1C#N,0.025,EC50,10.6,Active
CHEMBL3358955,O=C(O)CC1CCn2c1cc1cc(OCc3ccc(C4CCCC4)c(C(F)(F)F)c3)ccc12,0.041,EC50,10.39,Active
CHEMBL3359519,CC(C)Oc1ccc(COc2ccc3c(c2)cc2n3CCC2CC(=O)O)cc1C(F)(F)F,0.64,EC50,9.19,Active
CHEMBL241147,CCCCCCCCCCCCCCCCCC1=NN(c2ccc(Oc3ccc(OCC)cc3)c(S(=O)(=O)[O-])c2)C(=O)C1.[Na+],17000.0,IC50,4.77,Inactive
CHEMBL396365,CCCCOc1ccc(Sc2ccc(-c3ccccc3C(O)C#CCOCCCCCCCCCCCO)cc2S(=O)(=O)[O-])cc1.[Na+],130.0,IC50,6.89,Active
CHEMBL239876,CCCCOc1ccc(Sc2ccc(-c3ccccc3C(O)C#CCOCCCCCCCCCO)cc2S(=O)(=O)[O-])cc1.[Na+],98.0,IC50,7.01,Active
CHEMBL397081,CCCCOc1ccc(Sc2ccc(-c3ccccc3C(O)C#CCOCCCCCCCO)cc2S(=O)(=O)[O-])cc1.[Na+],31.0,IC50,7.51,Active
CHEMBL1672558,O=C(O)C1CN(Cc2ccc(-c3nc4cc(Cc5ccccc5F)ccc4s3)c(F)c2)C1,42.0,EC50,7.38,Active
CHEMBL1672565,Cc1cccc(Cc2ccc3sc(-c4ccc(CN5CC(C(=O)O)C5)cc4F)nc3c2)c1,54.0,EC50,7.27,Active
CHEMBL1672554,O=C(O)C1CN(Cc2ccc(-c3cc4ccc(Cc5ccccc5)cc4o3)c(F)c2)C1,13.0,EC50,7.89,Active
CHEMBL1651856,O=C(O)C1CN(Cc2ccc(-c3nc4cnc(Cc5ccccc5)cc4s3)c(F)c2)C1,3980.0,EC50,5.4,Inactive
CHEMBL541890,CCCCCCCCc1ccc(-c2c[nH]c(C(N)(CO)COP(O)(O)=S)n2)cc1.Cl,150.0,EC50,6.82,Active
CHEMBL210782,O=C(O)C[C@@H]1CC[C@H](c2ccc(-c3noc(-c4ccc(C5CCCC5)cc4F)n3)cc2)N1,2.7,IC50,8.57,Active
