Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
Fosigotifator,O=C(COc1ccc(Cl)c(F)c1)NC12CCC(NC(=O)COc3ccc(Cl)c(F)c3)(CC1)[C@@H](OCOP(=O)(O)O)C2,639.3720000000003,3.869100000000003,4.0,7.0,5.0,12.0,41.0,16.0,2.0,152.65,0.44,[0 0 0 ... 0 0 0],0.7454404761904763,1
"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",Cc1ncc(COP(=O)(O)O)c(CN[C@@H]2CONC2=O)c1O,333.2370000000001,-0.7754800000000002,5.0,7.0,2.0,6.0,22.0,11.0,1.0,150.24,0.4545454545454545,[0 0 0 ... 1 0 0],0.7454166666666667,1
2-{5-[3-(7-PROPYL-3-TRIFLUOROMETHYLBENZO[D]ISOXAZOL-6-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID,CCCc1c(OCCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,476.4510000000002,5.686300000000004,1.0,6.0,4.0,10.0,34.0,10.0,4.0,86.72,0.3333333333333333,[0 0 0 ... 0 0 0],0.745,1
Fobrepodacin,CCNC(=O)Nc1nc2cc(-c3cnc(C(C)(C)OP(=O)(O)O)nc3)c(F)c([C@H]3CCCO3)c2[nH]1,508.44700000000023,3.4963000000000024,5.0,7.0,4.0,7.0,35.0,14.0,3.0,171.57999999999998,0.4285714285714285,[0 0 0 ... 0 0 0],0.745,1
Zidovudine diphosphate,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,427.2030000000001,0.0377199999999995,4.0,9.0,2.0,7.0,27.0,17.0,1.0,226.13999999999996,0.6,[0 0 0 ... 0 0 0],0.745,1
Fosaprepitant,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,614.4110000000002,4.366300000000004,3.0,7.0,4.0,7.0,41.0,18.0,3.0,129.91,0.391304347826087,[0 1 0 ... 0 0 0],0.745,1
LGD2941,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,394.31500000000005,3.8274000000000026,2.0,3.0,3.0,2.0,27.0,10.0,2.0,56.33,0.4705882352941176,[0 1 0 ... 0 0 0],0.745,1
4-[[(2S)-1-[[6-[(1-Amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic acid,NC(=O)C(CS)NC(=O)CCCCCNC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)C(CC(=O)O)NC(=O)Cc1ccc(C(F)(F)P(=O)(O)O)cc1,873.7090000000002,0.946600000000002,11.0,9.0,2.0,23.0,57.0,25.0,2.0,311.84999999999997,0.4375,[0 1 0 ... 0 0 0],0.7445833333333333,1
PHENYL[1-(N-SUCCINYLAMINO)PENTYL]PHOSPHONATE,CCCC[C@H](NC(=O)CCC(=O)O)[P@@](=O)(O)Oc1ccccc1,343.31600000000003,2.7481,3.0,4.0,1.0,10.0,23.0,8.0,1.0,112.93,0.4666666666666667,[0 1 0 ... 0 0 0],0.7445265151515151,1
Rodatristat ethyl,CCOC(=O)[C@@H]1CC2(CCN(c3cc(O[C@H](c4ccc(Cl)cc4-c4ccccc4)C(F)(F)F)nc(N)n3)CC2)CN1,590.0459999999997,5.573200000000005,2.0,8.0,5.0,7.0,41.0,12.0,3.0,102.6,0.4137931034482758,[0 1 0 ... 0 0 0],0.7443095238095238,1
Opelconazole,Cc1cc(N2CCN(c3ccc(C(=O)Nc4ccc(F)cc4)cc3)CC2)ccc1OC[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(F)cc2F)C1,682.7470000000003,6.5937200000000065,1.0,8.0,7.0,10.0,50.0,12.0,5.0,84.75000000000001,0.2894736842105263,[1 0 0 ... 0 0 0],0.7438333333333332,1
ISOPENTENYL PYROPHOSPHATE,C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O,246.092,1.1788999999999998,3.0,4.0,0.0,6.0,14.0,9.0,0.0,113.29000000000002,0.6,[0 0 0 ... 0 1 0],0.74375,1
N-{[2-({[1-(4-CARBOXYBUTANOYL)AMINO]-2-PHENYLETHYL}-HYDROXYPHOSPHINYL)OXY]ACETYL}-2-PHENYLETHYLAMINE,O=C(O)CCCC(=O)N[C@H](Cc1ccccc1)[P@@](=O)(O)OCC(=O)NCCc1ccccc1,476.4660000000003,2.4871999999999996,4.0,5.0,2.0,14.0,33.0,10.0,2.0,142.03,0.3478260869565217,[0 1 0 ... 0 0 0],0.7436666666666667,1
Edratide,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CN)[C@@H](C)CC)C(=O)NCC(=O)O,2309.5739999999987,-3.796829999999951,31.0,28.0,10.0,67.0,166.0,55.0,8.0,883.21,0.4684684684684684,[0 1 0 ... 0 0 0],0.7436538461538461,1
