Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
GSK-1292263,CC(C)c1noc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)nc3)CC2)n1,456.5680000000002,3.9539000000000026,0.0,8.0,4.0,7.0,32.0,9.0,3.0,98.42,0.43478260869565216,[0 1 0 ... 0 0 0],0.6013333333333333,1
Pevonedistat,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,443.5290000000002,2.0627999999999997,3.0,8.0,5.0,6.0,31.0,10.0,3.0,132.35999999999999,0.42857142857142855,[0 0 1 ... 0 0 0],0.6012500000000001,1
"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE",COC(=O)CCNC(=O)c1cc(-c2ccc(F)cc2F)cc(I)c1O,461.20200000000006,3.234900000000002,2.0,4.0,2.0,5.0,25.0,8.0,2.0,75.63,0.17647058823529413,[0 0 0 ... 0 0 0],0.60125,1
Vepafestinib,COCc1ccc(NC(=O)c2c(C#CCN3CCOCC3)n(C3(C)CC3)c3ncnc(N)c23)cc1,474.5650000000003,2.6048999999999998,2.0,8.0,5.0,6.0,35.0,9.0,3.0,107.53,0.4230769230769231,[0 0 0 ... 0 0 0],0.60125,1
Entrectinib,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,560.6490000000001,5.026900000000005,3.0,6.0,6.0,7.0,41.0,10.0,4.0,85.52,0.3548387096774194,[0 0 1 ... 0 0 0],0.60125,1
PF-03635659,CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(Oc2cccc(O)c2)C1,444.5750000000002,4.485600000000004,2.0,4.0,4.0,9.0,33.0,5.0,3.0,75.79,0.32142857142857145,[0 0 0 ... 0 0 0],0.60125,1
"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid",O=C(O)CCCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,258.343,1.1868999999999998,3.0,3.0,2.0,6.0,17.0,6.0,0.0,78.43,0.8181818181818182,[0 0 0 ... 0 0 0],0.60125,1
Trofinetide,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,315.3260000000001,-1.2395999999999974,4.0,5.0,1.0,7.0,22.0,9.0,0.0,150.03,0.6923076923076923,[0 1 0 ... 0 0 0],0.60125,1
Tulrampator,O=C1c2cc3nnn(CCc4cccc(F)c4)c(=O)c3cc2OCN1C1CC1,380.37900000000025,2.1277999999999997,0.0,6.0,5.0,4.0,28.0,8.0,3.0,77.32,0.3,[0 0 0 ... 0 0 0],0.6011904761904762,1
Phytic acid,O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O,660.0300000000004,-3.132600000000001,12.0,12.0,1.0,12.0,36.0,30.0,0.0,400.56000000000006,1.0,[0 0 0 ... 0 0 0],0.6011904761904762,1
"(1S,4R,7AR)-4-BUTOXY-1-[(1R)-1-FORMYLPROPYL]-2,4,5,6,7,7A-HEXAHYDRO-1H-ISOINDOLE-3-CARBOXYLIC ACID",CCCCO[C@@H]1CCC[C@@H]2C1=C(C(=O)O)N[C@@H]2[C@H](C=O)CC,309.40600000000006,2.5074000000000005,2.0,4.0,2.0,8.0,22.0,5.0,0.0,75.63,0.7647058823529411,[0 1 0 ... 0 0 0],0.6011607142857143,1
Lapyrium,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,363.52200000000005,3.554400000000001,1.0,3.0,1.0,15.0,26.0,5.0,1.0,59.28,0.6666666666666666,[0 0 0 ... 0 0 0],0.6011538461538461,1
Pralnacasan,CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2C(=O)CC[C@H](NC(=O)c3nccc4ccccc34)C(=O)N12,523.5460000000003,0.6559000000000019,2.0,8.0,5.0,6.0,38.0,12.0,2.0,147.24,0.46153846153846156,[0 0 0 ... 0 1 0],0.6010416666666667,1
Rezatapopt,CNC(=O)c1ccc(NCC#Cc2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3n2CC(F)(F)F)c(OC)c1,545.5810000000001,4.489500000000004,3.0,6.0,4.0,7.0,39.0,11.0,3.0,70.56,0.39285714285714285,[0 0 0 ... 0 0 0],0.601,1
(S)-N-(1-(3-CHLORO-4-FLUOROPHENYL)-2-HYDROXYETHYL)-4-(4-(3-CHLOROPHENYL)-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE,O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,459.3080000000001,4.981100000000002,4.0,3.0,4.0,6.0,31.0,9.0,4.0,93.79999999999998,0.09090909090909091,[0 1 0 ... 0 0 0],0.6008333333333333,1
"GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE",Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4O[C@@H](CP(=O)(O)O)O[C@H]43)c2[nH]1,389.2610000000001,-2.1206999999999985,5.0,10.0,4.0,4.0,26.0,14.0,2.0,195.04,0.5833333333333334,[0 0 0 ... 0 0 0],0.6008333333333333,1
Selinexor,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,443.311,3.386700000000001,2.0,7.0,3.0,5.0,31.0,14.0,3.0,97.62,0.11764705882352941,[0 0 0 ... 0 0 0],0.6008333333333333,1
Solabegron,O=C(O)c1cccc(-c2cccc(NCCNC[C@H](O)c3cccc(Cl)c3)c2)c1,410.90100000000007,4.440300000000002,4.0,4.0,3.0,9.0,29.0,6.0,3.0,81.59,0.17391304347826086,[0 1 0 ... 0 0 0],0.6008333333333333,1
