Ligand,Best_Affinity
250_N_Pyridoxyl_1_Amino_Cyclopropanecarboxylic_Acid_5_Monophosphate.pdbqt,-7.058
251__2S__2___4___2S__1__2_Amino_4_oxo_1_4_dihydro_6_quinazolinyl__3___2____2R_3R_4S_5R__3_4_dihydroxy_5___phosphonooxy_methyl_tetrahydro_2_furanyl_amino__2_oxoethyl_amino__2_hydroxy_2_propanyl_benzoyl_ami_no_pentanedioic_acid.pdbqt,-7.213
252_S_23.pdbqt,-8.473
253_S_3__4_FLUOROPHENOXY__2_HYDROXY_2_METHYL_N__4_NITRO_3__TRIFLUOROMETHYL_PHENYL_PROPANAMIDE.pdbqt,-9.154
255_Candoxatril.pdbqt,-8.325
256_Obicetrapib.pdbqt,-0.436
257_Trifluorofurnesyl_Diphosphate.pdbqt,-8.468
258_4_bromo_3_hydroxy_3_methyl_butyl_diphosphate.pdbqt,-5.185
259__S__4_bromo_3_hydroxy_3_methylbutyl_diphosphate.pdbqt,-5.265
260_1_Carboxyethylaminomethyl_4_Aminomethylbenzene.pdbqt,-6.393
261_Rociletinib.pdbqt,-6.508
262_N6_ISOPENTENYL_ADENOSINE_5__MONOPHOSPHATE.pdbqt,-7.536
263_S__2___N__2_HYDROXY_4___HYDROXY_OXIDO_PHOSPHINO_OXY__3_3_DIMETHYLBUTANOYL__BETA_ALANYL_AMINO_ETHYL__HEPTANETHIOATE.pdbqt,-6.753
264_3__2_6_8_trioxo_9___2S_3S_4R__2_3_4_5_tetrahydroxypentyl__1_2_3_6_8_9_hexahydro_7H_purin_7_Yl_propyl_dihydrogen_phosphate.pdbqt,-6.353
265_3__2_6_8_Trioxo_9___2R_3S_4R__2_3_4_5_tetrahydroxypentyl__3H_purin_7_yl_propyl_dihydrogen_phosphate.pdbqt,-6.288
266_3__2_6_8_Trioxo_9___2R_3R_4R__2_3_4_5_tetrahydroxypentyl__3H_purin_7_yl_propyl_dihydrogen_phosphate.pdbqt,-6.08
267_3__2_6_8_trioxo_9___2S_3R_4R__2_3_4_5_tetrahydroxypentyl__1_2_3_6_8_9_hexahydro_7H_purin_7_Yl_propyl_dihydrogen_phosphate.pdbqt,-6.065
268_Bisphosphocin_Nu_3.pdbqt,-6.363
269_Estramustine_phosphate.pdbqt,-9.874
270_BMS_986115.pdbqt,-7.281
271_Inarigivir.pdbqt,-8.223
272_2__O_butyl_5_methyluridine.pdbqt,-6.054
273_5_O_phosphono_alpha_D_ribofuranosyl_diphosphate.pdbqt,-5.798
274_RU84687.pdbqt,-9.4
275_Adenylosuccinic_acid.pdbqt,-7.019
276_HQP1351.pdbqt,-9.983
277_Nicotinamide_Mononucleotide.pdbqt,-6.947
278_Tegobuvir.pdbqt,-10.563
279_4____1R_2S__1_2_dihydroxy_2_methyl_3__4_nitrophenoxy_propyl_amino__2__trifluoromethyl_benzonitrile.pdbqt,-8.105
280_RU82209.pdbqt,-9.032
281_Indole_3_Propanol_Phosphate.pdbqt,-6.817
282_N_Bromoacetyl_Aminoethyl_Phosphate.pdbqt,-5.078
283_N_Pyridoxyl_Glycine_5_Monophosphate.pdbqt,-6.205
284_3_4_Dihydro_2__deoxyuridine_5__monophosphate.pdbqt,-6.653
286_Giripladib.pdbqt,-4.615
287_Tiagabine.pdbqt,-8.367
288_GDC_0349.pdbqt,-1.511
289_Fasentin.pdbqt,-7.418
290_3__THIO_THYMIDINE_5__PHOSPHATE.pdbqt,-6.993
291_Pyridoxamine_5__Phosphate.pdbqt,-5.714
292_Benfotiamine.pdbqt,-7.32
293_Fanapanel.pdbqt,-6.643
294_Ethyl_Dihydrogen_Diphosphate.pdbqt,-5.032
295_APT_101.pdbqt,-10.004
296_PF_06882961.pdbqt,-9.354
297_ABT_737.pdbqt,-4.853
300_Trabectedin.pdbqt,39.137
301_Muparfostat.pdbqt,3.901
302_Cardiopet.pdbqt,-6.879
303_Propanoyl_CoA.pdbqt,-5.632
304_ISO24.pdbqt,-6.829
305_AICA_ribonucleotide.pdbqt,-5.91
306_Rimiducid.pdbqt,34.331
307_6_Hydro_1_Methyladenosine_5__Monophosphate.pdbqt,-6.711
308_Glutathione_S_atrazine.pdbqt,-6.378
309_Staurosporine.pdbqt,-1.235
310_Bafetinib.pdbqt,-8.674
311_Ondelopran.pdbqt,-8.622
